iter	Logloss
0	0.6809407242
1	0.6670071098
2	0.6559941716
3	0.6447770337
4	0.6332537202
5	0.6247595486
6	0.6170268271
7	0.6083138228
8	0.6014428737
9	0.5937690972
10	0.5874040592
11	0.5823312252
12	0.5766677001
13	0.5707839782
14	0.5656962632
15	0.560749876
16	0.5556217758
17	0.5499614749
18	0.5461710896
19	0.5416080936
20	0.5371754712
21	0.5328774802
22	0.5297675678
23	0.5253174603
24	0.5215054977
25	0.5179776786
26	0.514702505
27	0.5120816799
28	0.5085964782
29	0.5063917411
30	0.5036538938
31	0.5011335979
32	0.4989329117
33	0.4960800678
34	0.4936270668
35	0.4912528522
36	0.488478588
37	0.4858988095
38	0.48351021
39	0.4819669726
40	0.4795008681
41	0.4773687996
42	0.4743840112
43	0.4730073578
44	0.4707525215
45	0.4685401786
46	0.4672837302
47	0.4656163194
48	0.4638231233
49	0.4613661128
50	0.4599778853
51	0.4577792659
52	0.4564153026
53	0.455234871
54	0.453374876
55	0.4515341435
56	0.449828497
57	0.4484337798
58	0.4467051091
59	0.4458180804
60	0.4432804233
61	0.441511078
62	0.4389500661
63	0.4379415509
64	0.4366022652
65	0.4347854663
66	0.4336085896
67	0.4318308532
68	0.4297147817
69	0.4281753059
70	0.4270774223
71	0.4251723297
72	0.4239602761
73	0.4220845734
74	0.4206148313
75	0.4190119461
76	0.418265005
77	0.4169231978
78	0.4160181878
79	0.4153110532
80	0.4143392444
81	0.4127671131
82	0.4113943039
83	0.4108310185
84	0.4096078042
85	0.409051422
86	0.4077372685
87	0.4066073495
88	0.4060270751
89	0.4054978505
90	0.4046213624
91	0.4041275628
92	0.4029472553
93	0.4024794974
94	0.4014207176
95	0.4010083085
96	0.4005907325
97	0.3999800761
98	0.399207672
99	0.398827381
100	0.3974604828
101	0.3963973214
102	0.3959764798
103	0.3952560351
104	0.3948291584
105	0.3938427579
106	0.3929575479
107	0.3921123099
108	0.3916239666
109	0.3912699653
110	0.3904423363
111	0.390000744
112	0.3894111276
113	0.3889260499
114	0.3883497437
115	0.3875175678
116	0.3870655175
117	0.3860193866
118	0.3854885086
