iter	Passed	Remaining
420	2372	3262
421	2378	3257
422	2384	3253
423	2390	3247
424	2396	3242
425	2402	3236
426	2407	3230
427	2413	3225
428	2419	3219
429	2424	3214
430	2430	3208
431	2436	3203
432	2442	3198
433	2448	3192
434	2453	3187
435	2459	3182
436	2466	3178
437	2473	3174
438	2480	3170
439	2487	3166
440	2494	3162
441	2500	3156
442	2506	3151
443	2511	3145
444	2517	3139
445	2523	3134
446	2528	3128
447	2534	3123
448	2540	3117
449	2545	3111
450	2551	3106
451	2557	3100
452	2563	3094
453	2568	3089
454	2574	3083
455	2580	3078
456	2585	3072
457	2591	3066
458	2597	3061
459	2602	3055
460	2608	3050
461	2614	3044
462	2620	3038
463	2625	3033
464	2631	3027
465	2637	3022
466	2642	3016
467	2648	3010
468	2654	3005
469	2660	2999
470	2665	2994
471	2671	2988
472	2677	2982
473	2683	2977
474	2688	2971
475	2694	2966
476	2700	2960
477	2705	2954
478	2711	2949
479	2717	2943
480	2723	2938
481	2728	2932
482	2734	2927
483	2740	2921
484	2746	2915
485	2751	2910
486	2757	2904
487	2763	2899
488	2768	2893
489	2774	2887
490	2780	2882
491	2785	2876
492	2791	2870
493	2797	2865
494	2803	2859
495	2808	2854
496	2814	2848
497	2820	2843
498	2826	2837
499	2831	2831
500	2837	2826
501	2843	2820
502	2849	2815
503	2854	2809
504	2860	2803
505	2866	2798
506	2871	2792
507	2877	2786
508	2883	2781
509	2889	2775
510	2894	2770
511	2900	2764
512	2906	2758
513	2911	2753
514	2917	2747
515	2923	2742
516	2929	2736
517	2934	2730
518	2940	2725
519	2946	2719
520	2952	2714
521	2957	2708
522	2963	2703
523	2969	2697
524	2975	2691
525	2980	2686
526	2986	2680
527	2992	2674
528	2998	2669
529	3003	2663
530	3009	2658
531	3015	2652
532	3021	2647
533	3027	2641
534	3032	2636
535	3038	2630
536	3044	2624
537	3049	2619
538	3055	2613
539	3061	2607
540	3067	2602
541	3073	2596
542	3078	2591
543	3084	2585
544	3090	2579
545	3095	2574
546	3101	2568
547	3107	2562
548	3113	2557
549	3118	2551
550	3124	2546
551	3130	2540
552	3135	2534
553	3141	2529
554	3147	2523
555	3153	2517
556	3158	2512
557	3164	2506
558	3170	2501
559	3175	2495
560	3181	2489
561	3187	2484
562	3193	2478
563	3198	2472
564	3204	2467
565	3210	2461
566	3216	2456
567	3221	2450
568	3227	2444
569	3233	2439
570	3239	2433
571	3244	2428
572	3250	2422
573	3256	2416
574	3262	2411
575	3267	2405
576	3273	2399
577	3279	2394
578	3285	2388
579	3290	2383
580	3296	2377
581	3302	2371
582	3307	2366
583	3313	2360
584	3319	2354
585	3324	2348
586	3330	2343
587	3336	2337
588	3342	2332
589	3347	2326
590	3353	2320
591	3359	2315
592	3364	2309
593	3370	2303
594	3376	2298
595	3382	2292
596	3388	2287
597	3394	2281
598	3399	2276
599	3405	2270
600	3411	2264
601	3416	2259
602	3422	2253
603	3428	2247
604	3434	2242
605	3441	2237
606	3447	2232
607	3453	2226
608	3459	2221
609	3465	2215
610	3470	2209
611	3476	2204
612	3482	2198
613	3488	2193
614	3494	2187
615	3499	2181
616	3505	2176
617	3511	2170
618	3516	2164
619	3522	2159
620	3528	2153
621	3534	2147
622	3539	2142
623	3545	2136
624	3551	2131
625	3557	2125
626	3563	2119
627	3569	2114
628	3574	2108
629	3580	2102
630	3586	2097
631	3591	2091
632	3597	2085
633	3603	2080
634	3608	2074
635	3614	2068
636	3620	2063
637	3626	2057
638	3631	2051
639	3637	2046
640	3643	2040
641	3648	2034
642	3654	2029
643	3660	2023
644	3666	2017
645	3672	2012
646	3677	2006
647	3683	2001
648	3689	1995
649	3695	1989
650	3700	1984
651	3706	1978
652	3712	1972
653	3718	1967
654	3723	1961
655	3729	1955
656	3735	1950
657	3741	1944
658	3747	1938
659	3753	1933
660	3759	1928
661	3765	1922
662	3771	1917
663	3777	1911
664	3783	1905
665	3789	1900
666	3795	1894
667	3801	1889
668	3806	1883
669	3812	1877
670	3818	1872
671	3824	1866
672	3830	1861
673	3836	1855
674	3842	1849
675	3847	1844
676	3853	1838
677	3860	1833
678	3866	1827
679	3872	1822
680	3878	1816
681	3883	1810
682	3889	1805
683	3895	1799
684	3901	1794
685	3908	1788
686	3914	1783
687	3920	1778
688	3926	1772
689	3932	1766
690	3938	1761
691	3944	1755
692	3949	1749
693	3955	1744
694	3961	1738
695	3967	1732
696	3972	1727
697	3978	1721
698	3984	1715
699	3989	1709
700	3995	1704
701	4001	1698
702	4007	1692
703	4012	1687
704	4018	1681
705	4024	1675
706	4030	1670
707	4035	1664
708	4041	1658
709	4047	1653
710	4052	1647
711	4058	1641
712	4064	1636
713	4070	1630
714	4076	1624
715	4081	1619
716	4087	1613
717	4093	1607
718	4098	1601
719	4104	1596
720	4110	1590
721	4116	1584
722	4121	1579
723	4127	1573
724	4133	1567
725	4139	1562
726	4144	1556
727	4150	1550
728	4156	1545
729	4161	1539
730	4167	1533
731	4173	1527
732	4179	1522
733	4184	1516
734	4190	1510
735	4196	1505
736	4201	1499
737	4207	1493
738	4213	1488
739	4219	1482
740	4224	1476
741	4230	1470
742	4236	1465
743	4241	1459
744	4247	1453
745	4253	1448
746	4259	1442
747	4264	1436
748	4270	1431
749	4276	1425
750	4281	1419
751	4287	1414
752	4293	1408
753	4299	1402
754	4304	1396
755	4310	1391
756	4315	1385
757	4320	1379
758	4327	1373
759	4332	1368
760	4338	1362
761	4344	1356
762	4349	1351
763	4355	1345
764	4360	1339
765	4366	1333
766	4371	1328
767	4378	1322
768	4383	1316
769	4389	1311
770	4395	1305
771	4400	1299
772	4406	1294
773	4412	1288
774	4418	1282
775	4424	1277
776	4429	1271
777	4436	1265
778	4441	1260
779	4447	1254
780	4453	1248
781	4459	1243
782	4464	1237
783	4470	1231
784	4476	1226
785	4482	1220
786	4487	1214
787	4493	1208
788	4499	1203
789	4505	1197
790	4511	1191
791	4516	1186
792	4522	1180
793	4528	1174
794	4534	1169
795	4539	1163
796	4545	1157
797	4551	1152
798	4557	1146
799	4562	1140
800	4568	1135
801	4574	1129
802	4580	1123
803	4585	1117
804	4591	1112
805	4597	1106
806	4602	1100
807	4608	1095
808	4614	1089
809	4620	1083
810	4625	1078
811	4631	1072
812	4637	1066
813	4643	1060
814	4648	1055
815	4654	1049
816	4660	1043
817	4665	1038
818	4671	1032
819	4677	1026
820	4683	1021
821	4688	1015
822	4694	1009
823	4700	1003
824	4706	998
825	4712	992
826	4717	986
827	4723	981
828	4729	975
829	4736	970
830	4743	964
831	4749	958
832	4754	953
833	4760	947
834	4766	941
835	4772	936
836	4777	930
837	4783	924
838	4789	919
839	4794	913
840	4800	907
841	4806	901
842	4812	896
843	4817	890
844	4823	884
845	4829	879
846	4834	873
847	4840	867
848	4846	861
849	4852	856
850	4857	850
851	4863	844
852	4869	839
853	4875	833
854	4881	827
855	4888	822
856	4895	816
857	4902	811
858	4907	805
859	4913	799
860	4919	794
861	4925	788
862	4931	782
863	4937	777
864	4943	771
865	4948	765
866	4954	760
867	4960	754
868	4966	748
869	4972	742
870	4977	737
871	4983	731
872	4989	725
873	4995	720
874	5001	714
875	5006	708
876	5012	703
877	5018	697
878	5024	691
879	5030	685
880	5035	680
881	5041	674
882	5047	668
883	5052	663
884	5058	657
885	5064	651
886	5070	645
887	5075	640
888	5081	634
889	5087	628
890	5093	623
891	5098	617
892	5104	611
893	5110	605
894	5116	600
895	5122	594
896	5127	588
897	5133	583
898	5139	577
899	5144	571
900	5150	565
901	5156	560
902	5162	554
903	5167	548
904	5173	543
905	5179	537
906	5185	531
907	5191	525
908	5196	520
909	5202	514
910	5208	508
911	5214	503
912	5219	497
913	5225	491
914	5231	485
915	5236	480
916	5242	474
917	5248	468
918	5254	463
919	5260	457
920	5265	451
921	5271	445
922	5277	440
923	5282	434
924	5288	428
925	5294	423
926	5300	417
927	5306	411
928	5311	405
929	5317	400
930	5323	394
931	5328	388
932	5334	383
933	5340	377
934	5346	371
935	5351	365
936	5357	360
937	5363	354
938	5369	348
939	5375	343
940	5381	337
941	5387	331
942	5392	325
943	5398	320
944	5404	314
945	5410	308
946	5415	303
947	5421	297
948	5427	291
949	5433	285
950	5439	280
951	5444	274
952	5450	268
953	5456	263
954	5462	257
955	5467	251
956	5473	245
957	5479	240
958	5485	234
959	5490	228
960	5496	223
961	5502	217
962	5508	211
963	5514	205
964	5519	200
965	5525	194
966	5531	188
967	5537	183
968	5542	177
969	5548	171
970	5554	165
971	5560	160
972	5566	154
973	5571	148
974	5577	143
975	5583	137
976	5589	131
977	5594	125
978	5600	120
979	5606	114
980	5612	108
981	5617	102
982	5623	97
983	5629	91
984	5635	85
985	5640	80
986	5646	74
987	5652	68
988	5658	62
989	5664	57
990	5669	51
991	5675	45
992	5681	40
993	5687	34
994	5693	28
995	5698	22
996	5704	17
997	5710	11
998	5716	5
999	5722	0
